FEE	Channel	   Offset	Peaks	       INL	Comment
5	33	   14.7918	5	0.000552971	
5	34	  -128.634	5	0.00104355	
5	35	   -246.24	5	0.000859066	
5	36	  -46.3618	5	0.00038226	
5	37	  -140.912	5	0.000339137	
5	38	  -39.6195	5	0.00281205	
5	39	   -168.85	5	0.000692044	
5	40	  -90.4457	5	0.00143015	
5	41	  -187.077	5	0.000777266	
5	42	  -227.122	5	0.000672425	
5	43	  -10.4262	5	0.00047676	
5	44	  -130.905	5	0.000662558	
5	45	   22.6186	5	0.000908983	
5	46	  -341.625	5	0.000603098	
5	47	   134.113	5	0.000570447	
5	48	  -134.459	5	0.000966982	
5	49	  -327.397	5	0.00650587	
5	50	  -88.0591	5	0.000714717	
5	51	   -288.06	5	0.00123964	
5	52	  -13.6155	5	0.000218228	
5	53	  -16.4397	4	0.000356067	Few peaks 
5	54	  -259.999	5	 0.0010565	
5	55	  -320.779	5	0.000321969	
5	56	 0	5	 0.0530232	High INL 
5	57	   184.268	5	0.000909546	
5	58	  -140.502	5	0.00162099	
5	59	         0	0	         0	No peaks?
5	60	  -288.881	5	0.000772834	
5	61	   37.4081	5	0.00141156	
5	62	    90.112	5	0.00113617	
5	63	  -44.0005	5	0.000818542	
5	64	   1.74146	5	0.00101044	
6	1	   126.988	5	0.00146592	
6	2	         0	0	         0	No peaks?
6	3	   160.617	5	0.00111937	
6	4	   96.5562	5	0.00268474	
6	5	   382.528	5	0.00134078	
6	6	   334.848	5	0.00102553	
6	7	   281.513	5	0.000985505	
6	8	   100.401	5	0.00110687	
6	9	   162.925	5	0.00115149	
6	10	   114.814	5	0.00175273	
6	11	   56.8495	5	0.000506395	
6	12	  -121.251	5	0.00109326	
6	13	   116.061	5	0.00178812	
6	14	   31.3439	5	0.000537869	
6	15	   162.742	5	0.00158228	
6	16	  -131.539	5	0.000950775	
6	17	  -135.176	5	0.000637464	
6	18	   118.824	5	0.000450475	
6	19	  -17.1656	5	0.00112517	
6	20	  -11.4179	5	0.000898458	
6	21	   3.48717	5	0.00113379	
6	22	   73.7771	5	0.00119009	
6	23	  -115.153	5	0.000657169	
6	24	   264.377	5	0.000416952	
